statement,predicted_label_id,predicted_status,confidence,
"Chắc chắn rồi. Tôi đang cân nhắc việc học vẽ, học chơi một nhạc cụ hoặc thậm chí thử làm đồ gốm. Mỗi người đều có sức hấp dẫn riêng và thật khó để chọn chỉ một. Tôi cảm thấy như dù tôi có chọn gì đi chăng nữa, tôi cũng sẽ bỏ lỡ những người khác.",1,Bipolar,0.9112616,
"Họ đã tạo ra sự khác biệt lớn. Bằng cách chia sẻ những nỗi sợ hãi và lo lắng sâu sắc nhất của mình, tôi nhận ra rằng đối tác của mình thực sự ủng hộ và thấu hiểu. Nó giúp tôi củng cố niềm tin rằng tôi xứng đáng có được tình yêu và hạnh phúc mà tôi hiện có trong đời. Càng trò chuyện, nỗi lo lắng của tôi dường như càng tan biến, nhường chỗ cho nhiều hạnh phúc hơn.",4,Personality disorder,0.51878643,
"Một điều tôi nghĩ đến là thiếu sự hỗ trợ từ đồng nghiệp và cấp trên. Tôi thường cảm thấy bị cô lập và choáng ngợp, như thể tôi phải một mình gánh lấy gánh nặng trách nhiệm của mình.",5,Stress,0.9980065,
Sẽ có cảm giác được giải phóng. Tôi nghĩ nó sẽ giảm bớt áp lực và cho phép tôi trân trọng những nỗ lực của mình hơn. Tôi có thể thấy sự thay đổi quan điểm này có thể giúp giảm bớt sự choáng ngợp và xung đột trong tôi như thế nào.,5,Stress,0.9997565,
Cảm ơn. Tôi cảm thấy có động lực để thực hiện những bước này nhằm xây dựng lòng tự trọng lành mạnh hơn. Tôi rất biết ơn sự hướng dẫn và hỗ trợ của bạn.,1,Bipolar,0.7256327,
Tôi cam kết nỗ lực hoàn thiện bản thân và thực hành các kỹ thuật giao tiếp mới. Tôi sẽ bắt đầu bằng cách bày tỏ cảm xúc của mình một cách cởi mở hơn và tích cực lắng nghe người khác mà không phán xét.,4,Personality disorder,0.99988806,
Cảm ơn. Tôi thực sự đánh giá cao sự hướng dẫn và hỗ trợ của bạn. Bây giờ tôi cảm thấy có động lực hơn để tích cực theo đuổi những chiến lược này và nỗ lực xây dựng tình bạn mà tôi mong muốn. Tôi sẽ cập nhật cho bạn về tiến trình của tôi.,4,Personality disorder,0.7794018,
"
Hãy xác định lỗi sai trong câu sau và gợi ý cách sửa.: 

Nhà hàng này có món mì ống ngon nhất
",3,Normal,0.99991775,
"
Giải thích tác phẩm nghệ thuật đã cho.: 

Bức tranh “Nhịp điệu mùa thu” của Pollock.
",3,Normal,0.999856,
"Hey , I'm feeling really insecure right now and it's starting to make me panic a little bit.",3,Normal,0.9998739,
Tôi cho rằng bạn đúng. Có lẽ đã đến lúc cân nhắc việc trị liệu và tích cực hướng tới việc xây dựng các mối quan hệ cá nhân lành mạnh hơn.,4,Personality disorder,0.88015455,
"Bạn thấy đấy, trong nhiều năm, tôi luôn muốn tạo ra một mái ấm yêu thương và bình yên cho vợ chồng tôi. Và giờ đây, giấc mơ đó đã trở thành hiện thực tươi đẹp.",3,Normal,0.9998822,
Tôi lo lắng rằng mình sẽ không thể duy trì thói quen đó hoặc nỗi buồn sẽ lấn át mọi tiến bộ mà tôi đạt được. Tôi sợ phải đối mặt trực tiếp với cảm xúc của mình và thừa nhận rằng tôi vẫn còn tổn thương vì đau lòng. Nhưng trong thâm tâm tôi biết rằng sự thay đổi là cần thiết cho hạnh phúc của chính tôi.,1,Bipolar,0.9683348,
"Bạn đã đánh trúng đầu rồi! Sự tê liệt này chắc chắn đã tràn vào cuộc sống hàng ngày của tôi. Tôi thực sự khó tập trung vào công việc vì tôi thấy mình liên tục tua lại những xung đột này trong đầu. Giống như năng lượng của tôi đang bị tiêu hao bởi những vấn đề gia đình chưa được giải quyết, khiến tôi khó tập trung vào bất cứ việc gì khác.",5,Stress,0.9993286,
Tôi nghĩ việc phát triển một số chiến lược đối phó lành mạnh sẽ hữu ích. Tôi có xu hướng dễ bị choáng ngợp và điều đó ảnh hưởng đến khả năng tập trung cũng như hoạt động tốt của tôi.,1,Bipolar,0.5588027,
"Này , gần đây tôi hơi ghen tị và tôi đã tự hứa với mình rằng sẽ không để điều đó xảy ra với mình. Nhưng tôi đang ở đây, vật lộn với những cảm xúc này.",2,Depression,0.960617,
"Chà, điều đó chắc chắn gây tổn hại cho tôi. Thật khó để tận hưởng trọn vẹn tình bạn của mình khi tôi luôn cảm thấy cảnh giác và không chắc chắn về cách người khác nhìn nhận về mình. Nó tạo ra rào cản giữa chúng tôi và tôi khao khát những kết nối chân thực hơn, nơi tôi có thể thể hiện bản thân mà không sợ bị phán xét. Tôi muốn tìm cách vượt qua lập trường phòng thủ này và cải thiện sự năng động trong tình bạn của mình.",4,Personality disorder,0.9932887,
"Thông điệp chính mà tôi mang đi là hãy giữ vững ước mơ của mình, tin tưởng vào bản thân và đón nhận sự hỗ trợ, hướng dẫn của những người yêu thương và tin tưởng vào tôi. Tôi nhận ra rằng việc đạt được ước mơ của mình không hề dễ dàng, nhưng với tư duy đúng đắn, sự cống hiến và sự kiên trì, tôi tin chắc rằng không có gì ngoài tầm tay của mình.",5,Stress,0.9919288,
"It's just hard, you know? I come from a broken family, and growing up, I always felt like something was missing. Seeing my friends with their parents who are still together, it reminds me of what I don't have, and it makes me feel even more alone.",6,Suicidal,0.99163544,
"Đôi khi, tôi bắt gặp mình đang ngẫm nghĩ về những lỗi lầm trong quá khứ hoặc chìm đắm trong những suy nghĩ tiêu cực. Nó giống như một vòng lặp không bao giờ kết thúc cứ lặp đi lặp lại trong tâm trí tôi và tôi cố gắng thoát ra khỏi nó. Và với bạn trai, tôi cảm thấy có lỗi vì đã khiến anh ấy phải gánh nặng nỗi buồn của mình. Thật khó để không thể truyền đạt đầy đủ những gì tôi đang trải qua.",5,Stress,0.3939448,
Create a Todo list app based on interest categories?,3,Normal,0.9995546,
Tôi không biết bắt đầu từ đâu... Tôi chỉ cảm thấy rất bối rối. Giống như tâm trí tôi luôn quay cuồng và dường như tôi không thể tìm thấy chút bình yên nào.,0,Anxiety,0.9533162,
"Tôi đã cố gắng hết sức để cho phép mình được đau buồn. Tuy nhiên, đôi khi tôi thấy mình kìm nén, như thể việc bộc lộ hết cảm xúc của mình là sai lầm.",6,Suicidal,0.707199,
"Chắc chắn rồi. Bất cứ khi nào tôi phải đối mặt với sự từ chối, tôi bắt đầu nghi ngờ bản thân mình. Những suy nghĩ như “Tôi không đủ tốt” hay “Không ai muốn tôi” cứ tràn ngập tâm trí tôi. Thật sự rất khó để rũ bỏ những suy nghĩ tiêu cực này, bạn biết không?",4,Personality disorder,0.99982613,
Cảm ơn. Tôi đánh giá cao sự hướng dẫn và hiểu biết của bạn.,4,Personality disorder,0.4993485,
"Chà, tôi thấy mình ưu tiên việc nghiện ngập của mình hơn những đứa con của mình. Đã có lúc tôi không dành tình cảm cho họ và tôi đã bỏ lỡ những cột mốc quan trọng trong cuộc đời họ. Thật đau lòng và tôi không thể không cảm thấy như mình đang làm họ thất vọng.",4,Personality disorder,0.39902398,
Không may rằng chưa xong. Tôi đã quá tập trung vào trách nhiệm hàng ngày của mình đến nỗi không còn nhiều thời gian và sức lực để theo đuổi ước mơ của mình. Giống như cuộc sống cứ mãi cản đường vậy.,5,Stress,0.99985147,
"Khi tôi cảm thấy bị loại trừ, tôi bắt đầu nghĩ rằng mình không đủ thú vị hoặc không đủ đáng yêu. Tôi thường tự hỏi liệu có điều gì không ổn xảy ra với mình không. Những suy nghĩ này khiến tôi không thể hoàn toàn nắm bắt được giá trị của bản thân.",4,Personality disorder,0.9998845,
"Tôi không biết bắt đầu từ đâu. Tôi cảm thấy vừa phấn khích vừa hoảng sợ ở mức độ như nhau ngay bây giờ. Bạn thấy đấy, tôi nhận ra rằng mình mắc chứng nghiện.",2,Depression,0.9955056,
"Honestly, I haven't been prioritizing self-care. I've been too focused on meeting deadlines and exceeding expectations.",0,Anxiety,0.9113552,
"Thành thật mà nói, tôi đã quá tập trung vào con đường cụ thể này đến nỗi thậm chí tôi còn chưa cân nhắc các lựa chọn thay thế. Tôi đang thu hẹp sự tập trung của mình, nghĩ rằng đó là cách duy nhất để biến giấc mơ của tôi thành hiện thực. Nhưng bây giờ bạn đề cập đến nó, việc khám phá những con đường khác nhau có thể giúp tôi linh hoạt hơn và những con đường tiềm năng để đạt được mục tiêu của mình.",5,Stress,0.96432143,
  I'm feeling overwhelmed with my responsibilities and I don't know how to manage my time effectively. What can I do to improve my productivity? ,0,Anxiety,0.69140327,
"Xin chào , tôi hy vọng bạn vẫn ổn. Gần đây tôi thực sự đang phải vật lộn với những căng thẳng liên quan đến công việc. Nó giống như một gánh nặng đè lên vai tôi và nó ảnh hưởng đến sức khỏe tinh thần của tôi. Tôi cảm thấy có cảm giác bị cô lập, như thể tôi đang gánh gánh nặng này một mình. Đôi khi tôi ước mình có một người bạn có thể hiểu được những gì tôi đang trải qua.",5,Stress,0.97523266,
"Cảm ơn bạn đã nhắc nhở tôi về điều đó. Hiện tại, thói quen tập thể dục là trọng tâm chính của tôi, nhưng tôi cảm thấy tự tin hơn khi tiếp cận nó. Tôi nghĩ hôm nay chúng ta đã đề cập được rất nhiều điều và tôi rất biết ơn sự hướng dẫn của bạn. Có điều gì khác mà tôi cần cân nhắc để tiến về phía trước không?",5,Stress,0.99920505,
"Tôi đã phát hiện ra rằng sự tức giận và phản bội có thể là cơ hội để trưởng thành. Qua sự xem xét nội tâm của mình, tôi nhận ra rằng sự tha thứ không phải là bỏ qua hành động của ai đó, mà là giải thoát bản thân khỏi những cảm xúc tiêu cực đang kìm hãm tôi. Đó là sự hiểu biết rằng việc ôm giữ sự tức giận chỉ kéo dài sự đau khổ của chính tôi. Bằng cách thừa nhận nỗi đau, tôi có thể bắt đầu chữa lành và giải phóng những cảm xúc đó.",6,Suicidal,0.98775566,
"Tôi đã ngần ngại tạo gánh nặng cho người khác bằng những vấn đề của mình, nhưng trong thâm tâm tôi biết rằng tôi không thể đối mặt với điều này một mình. Có lẽ đã đến lúc phải để ai đó bước vào, để chia sẻ gánh nặng mà tôi đang mang trong thầm lặng này.",4,Personality disorder,0.7795914,
"Nó đã ảnh hưởng đến tôi theo nhiều cách. Tôi thấy mình liên tục đặt câu hỏi về ý định của người khác. Tôi luôn có cảm giác như mình đang ở trong tình trạng căng thẳng, sợ rằng người khác cũng có thể phản bội mình. Thật mệt mỏi.",4,Personality disorder,0.9997999,
"Có, tôi nhận thấy rằng những tình huống hoặc môi trường căng thẳng có xu hướng làm tăng thêm sự lo lắng của tôi. Giống như tôi luôn trong trạng thái lo lắng, chờ đợi điều gì đó tồi tệ xảy ra. Và sau đó, khi áp lực trở nên quá lớn, tôi cảm thấy choáng ngợp và tê liệt bởi những suy nghĩ lo lắng và cảm giác thể chất của mình.",5,Stress,0.99990284,
"Tôi nghĩ một cách là tạo ra một không gian hoặc nghi lễ đặc biệt để tôi có thể suy ngẫm về cuộc đời và ký ức của họ, cho phép tôi bày tỏ lòng tôn kính đối với di sản của họ. Ngoài ra, việc tham gia vào các hoạt động hoặc hoạt động có ý nghĩa cá nhân đối với họ có thể giúp giữ cho tinh thần của họ luôn sống động trong tôi.",4,Personality disorder,0.99817264,
Cảm ơn. Tôi đánh giá cao sự hướng dẫn và hỗ trợ của bạn. Thật yên tâm khi biết rằng tôi không đơn độc trong việc này.,1,Bipolar,0.71653235,
Tôi cảm thấy hoàn toàn kiệt sức rồi. Tôi đã phải đối mặt với sự đau lòng này trong khoảng thời gian tưởng chừng như vô tận và nó đang khiến tôi phải chịu tổn thất nặng nề. Nó giống như một vòng luẩn quẩn đau đớn và buồn bã không bao giờ kết thúc mà tôi dường như không thể thoát ra được. Nỗi đau lòng này đã trở thành một vết thương đang ăn mòn toàn bộ con người tôi.,2,Depression,0.7670598,
