Context_translated,Response_translated,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Nếu tất cả mọi người nghĩ rằng bạn là vô giá trị, sau đó có lẽ bạn cần phải tìm những người mới để chơi với.Seriously, bối cảnh xã hội mà trong đó một người sống là một lớn trong tự-o. ngoại trừ, bạn có thể đi vòng quanh và cố gắng hiểu tại sao bạn không phải là vô giá trị, sau đó quay trở lại với cùng một đám đông và bị đánh bại một lần nữa. có nhiều thông điệp mà bạn có thể tìm thấy trong mạng xã hội. có thể đọc một số trong những người mà không phải là vô giá trị, và đó là một mục đích tốt cho cuộc sống của họ. vì vậy, do đó, niềm tin của chúng tôi là nếu một ai đó không có cảm giác tốt về cảm giác tốt về bản thân mình.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Nếu bạn cảm thấy mình có thể làm được điều gì đó tốt hơn, bạn có thể thay đổi những suy nghĩ của mình.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,Điều đầu tiên tôi đề nghị là có được giấc ngủ mà bạn cần hoặc nó sẽ ảnh hưởng đến cách bạn suy nghĩ và cảm nhận tôi sẽ tìm hiểu những gì đang diễn ra tốt đẹp trong cuộc sống của bạn và những gì bạn có thể biết ơn tôi tin rằng tất cả mọi người đều có tài năng và muốn tìm ra mục đích của họ trong cuộc sống tôi nghĩ bạn có thể tìm ra nó với sự giúp đỡ,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Khi tôi làm việc với những người có cảm giác buồn nản và vô giá trị. khi tôi làm việc với những người lo lắng có liên quan đến cảm giác buồn nản và những vấn đề với sự tự trọng. thường thì tôi làm việc với thân chủ của tôi để giúp xây dựng các kỹ năng để giảm mức độ buồn nản và giúp đỡ với sự tự tin, bằng cách điều khiển thân chủ của tôi với các thực hành công nghệ CBT. BT giúp chúng ta có nhận thức tốt hơn về cách bạn suy nghĩ về hệ thống niềm tin của bạn, và làm thế nào niềm tin của bạn ảnh hưởng đến hành vi và kết quả của hành vi của bạn. quá trình này không dễ dàng nhưng nó không giúp ích gì cho một cá nhân chúng ta luôn luôn kiểm soát được những gì chúng ta có thể kiểm soát cuộc sống của chúng ta có thể kiểm soát cuộc sống của chúng ta, chúng ta cảm thấy kiểm soát và chúng ta cảm thấy có thể kiểm soát được khả năng điều khiển, giảm thiểu năng chịu đựng, giảm căng thẳng, giảm căng thẳng, giảm căng thẳng và giảm bớt căng thẳng, lo âu, lo âu và lo âu về các mối quan hệ.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,Tôi muốn cho bạn biết rằng bạn không phải là người duy nhất trong cảm xúc của bạn và luôn luôn có một ai đó ở đó để giúp bạn có thể thay đổi cảm xúc của bạn và thay đổi cách suy nghĩ của bạn bằng cách cố gắng để thay đổi bạn luôn luôn có thể tự mình sẵn sàng học những điều mới hoặc tình nguyện để bạn có thể tạo ra một mục đích cho bản thân mình,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Ông chắc chắn, chắc chắn, săn! lời kêu gọi của 'lo sợ' có một cơ sở vững chắc trong cơ thể vật chất mà có thể không hoạt động rất tốt hiện nay, và, chúng tôi chắc chắn có thể khởi động lại chúng một lần nữa bằng cách mà bạn có thể tìm thấy xung quanh nhà và tương đối dễ dàng:) Sau đó, và sự hỗ trợ tâm linh sẽ được miễn phí.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,Bạn đang thể hiện một số đặc điểm cụ thể của một loại tính cách đặc biệt. tìm kiếm một nhân viên tư vấn người cung cấp cho điều trị và khám phá ra niềm vui được là bạn -- Chúa yêu bạn như bạn!,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Đó là một sự mạnh mẽ. suy sụp là một lời nói dối. đôi khi trầm cảm đặt kính này trên đôi mắt của chúng tôi, những định hướng đen tối đó thay đổi cách chúng tôi nhìn thấy sự việc. cảm giác cho chúng tôi biết rằng những điều như bạn đang không có giá trị bây giờ ""không có một ai giống bạn"" ""không lo lắng về việc làm bất cứ điều gì"" và nó rất dễ dàng cho chúng tôi để nghe và để bị lừa để suy nghĩ rằng chỉ vì chúng tôi cảm thấy một cái gì đó có nghĩa là nó đúng. vui lòng biết rằng ngay cả khi bạn cảm thấy vô giá trị ngay bây giờ, điều đó không có nghĩa là bạn không có khả năng làm việc vượt qua điều này. bước đầu tiên để làm việc này là nhận ra những gì đang xảy ra khi bạn nói về một câu chuyện hoàn toàn khác nhau với những từ không có giá trị thực sự khác nhau và tôi có thể giúp bạn không có khả năng làm điều gì để làm cho một người đó trong khi bạn không có khả năng làm điều gì bạn có khả năng làm cho bạn có một điều gì để bạn có một cái nhìn nhận thức về cuộc sống của bạn không có một cái nhìn của bạn không có một người đó trong tương lai của bạn không có khả năng bạn không có một cái nhìn của bạn không có khả năng bạn không có một cái nhìn của bạn không có một cái nhìn của bạn không có một cái nhìn của bạn không có một cái nhìn của bạn không có một người đó trong tương lai của bạn không có một người đó trong tương lai của bạn không có một cái nhìn của bạn không có khả năng bạn không có một cái nhìn của bạn không có khả năng bạn không có một cái nhìn của bạn không có một cái nhìn của bạn không có một cái nhìn của bạn không có một cái nhìn của bạn không có cái nhìn của bạn không có cái nhìn của bạn không có cái nhìn của bạn không có cái nhìn của bạn không có cái nhìn của bạn không có thể giúp bạn trong tương lai của bạn trong tương lai của bạn trong tương lai của bạn không có cái nhìn của bạn trong tương lai của bạn trong tương lai của bạn không có cái nhìn của bạn trong tương lai của bạn trong tương lai của bạn không có cái nhìn của bạn không có thể giúp bạn trong tương lai của bạn không có một cái nhìn của bạn không có một người đó, trong tương lai của bạn không có một cái nhìn của bạn không có một cái nhìn của bạn trong tương lai của",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,Nó có vẻ như bạn có thể đặt mình cuối cùng. bạn đã viết rằng bạn muốn sửa chữa các vấn đề của bạn nhưng không bao giờ đi xung quanh nó. tôi tự hỏi làm thế nào bạn đang sử dụng tâm trí và thể chất. bạn có dành thời gian chăm sóc và làm việc cho người khác? tôi cũng tự hỏi những suy nghĩ và cảm giác của bạn không có gì đến từ - bạn xung quanh những người đang đối xử với bạn xấu hay đau buồn? hoặc bạn có cảm thấy nó là lo lắng nhiều hơn bạn có nhưng không chắc chắn làm thế nào người khác cảm thấy như thế nào? nó có thể có ích để nói chuyện với người khác về cảm xúc của bạn - có lẽ - có cảm xúc của bạn - và cảm xúc của bạn cảm xúc của bạn đến từ cảm xúc mà bạn đang làm đau đớn.,
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Nó phải là thực sự khó khăn để trải nghiệm những gì bạn đang trải qua ngay bây giờ. nó cần rất nhiều can đảm để vươn ra. nó có vẻ như bạn muốn có được tốt hơn, nhưng có lẽ cần một số sự trợ giúp để vượt qua. Nhiều trong số các triệu chứng bạn đã mô tả là phù hợp với một người đang đối phó với bệnh trầm cảm. là một điều kiện có thể điều trị., nếu những người này có nhiều hơn hai tuần, sau đó đó nó là một ý tưởng tốt để tìm kiếm sự giúp đỡ chuyên nghiệp. ai đó đang được huấn luyện đối phó với sự buồn nản. một đánh giá hoàn toàn sẽ được hoàn toàn hoàn thiện để cai trị bất kỳ triệu chứng nào khác của bạn và sau đó, tính chất chính xác của bạn, trong một phương pháp điều trị khác, nó sẽ là một cách tốt nhất để bạn có thể làm tốt hơn.",
Tôi đã trải qua một số điều với cảm xúc và bản thân tôi gần như không ngủ và tôi chẳng làm gì nhưng nghĩ về việc tôi vô giá trị như thế nào và làm thế nào tôi không nên ở đây tôi chưa bao giờ cố gắng hay tự tử tôi luôn luôn muốn sửa chữa vấn đề của mình nhưng tôi chưa bao giờ hiểu nó làm thế nào tôi có thể thay đổi cảm giác của mình không có giá trị với tất cả mọi người,"Những người cảm thấy mình không ra gì dù bằng cách này hay cách khác đều được bảo rằng họ không ra gì, đó là lời nói dối mà họ đang sống chung.",
