statement,predicted_label_id,predicted_status,confidence
Tôi đang khám phá những sở thích khác nhau như vẽ tranh và viết nhật ký. Chúng giúp tôi thể hiện cảm xúc của mình một cách lành mạnh. Tôi cũng đã bắt đầu thực hành chánh niệm và điều này thực sự mang lại lợi ích.,5,Stress,0.18070233
Tôi muốn tiếp tục phát triển và thử những điều mới. Tôi nhận ra rằng cuộc sống quá ngắn ngủi để cứ mắc kẹt trong nỗi sợ hãi và tổn thương. Những sở thích này đã mở ra cho tôi một thế giới hoàn toàn mới và tôi muốn tiếp tục theo đuổi nó.,5,Stress,0.24849239
Tôi thực sự cảm thấy lo lắng và đầy đau buồn. Gần đây tôi gặp nhiều mâu thuẫn với bạn bè. Nó thực sự gây tổn hại cho tôi về mặt cảm xúc.,6,Suicidal,0.20221195
I think I can set aside a couple of hours each week to bake. It will give me something to look forward to and hopefully alleviate my feelings of loneliness.,1,Bipolar,0.204357
Cảm ơn. Điều đó có nghĩa rất nhiều với tôi. Tôi đã sẵn sàng thực hiện những bước đầu tiên để xây dựng lại lòng tự trọng của mình và tìm thấy sức mạnh bên trong bản thân.,4,Personality disorder,0.20146056
"Chà, chúng ta luôn yêu thiên nhiên. Chúng tôi thường dành những ngày cuối tuần để đi bộ đường dài và cắm trại cùng nhau, tận hưởng vẻ đẹp ngoài trời. Đó là điều mà tất cả chúng tôi đều trân trọng, mặc dù đã khá lâu rồi chúng tôi chưa thực hiện nó với tư cách là một gia đình.",4,Personality disorder,0.19887695
"We've been friends since we were kids, and we did everything together. We laughed, we cried, and we supported each other. It feels like a part of me is missing now that they're gone.",0,Anxiety,0.20394179
Generate a hypothesis to explain why machine learning has been successful in recent years.?,5,Stress,0.21554185
Có lẽ... tôi cho là nó không đau chút nào. Nhưng nếu trị liệu không giúp được gì cho tôi thì sao?,1,Bipolar,0.17274861
"Xin chào , tôi hy vọng bạn vẫn ổn. Tôi cảm thấy thực sự không vui và mắc kẹt trong cuộc xung đột đang diễn ra với bạn bè của mình. Nó đè nặng tôi và tôi không biết phải làm gì nữa.",2,Depression,0.1903526
