original,translated
"Oh God, why am I in this house by nature angry, angry, anxious, anxious, restless, when my mouth is open, my heart is full of malice","Ôi Chúa ơi, sao tôi lại ở trong căn nhà này mà lòng đầy giận dữ, lo âu, bất an đến thế, miệng thì mở mà trong tim toàn sự hận thù?"
"I'm so worried, even though tomorrow is just a presentation...","Mình lo quá, dù ngày mai chỉ là thuyết trình thôi..."
"Lately, I've been feeling anxious, restless, sad, but I'm still feeling sad because na, kabeh comes naturally. Strange.","Dạo này tôi thấy lo lắng, bồn chồn, buồn bã, nhưng vẫn buồn vì mọi chuyện cứ đến tự nhiên, thật lạ."
"I'm so worried, my cellphone is about to fall again","Mình lo quá, điện thoại sắp rơi nữa rồi!"
"Moving forward is hope, Quitting is despair. Restless hope is better than despair..#morethanfriends","Tiến lên là hy vọng, bỏ cuộc là tuyệt vọng; hy vọng rạo rực vẫn hơn tuyệt vọng."
So when the time comes I won't be surprised anymore and won't be overly disappointed. I lowered my expectations amidst the many possibilities. That I undo because I know and self-aware. Now I shouldn't be nervous anymore right? But why am I still not ready?,"Vậy khi thời điểm đến, tôi sẽ không còn ngạc nhiên hay thất vọng quá mức nữa, tôi đã hạ thấp kỳ vọng giữa muôn vàn khả năng; việc đó là do tôi tự biết mình, tự nhận thức được. Giờ thì tôi không nên lo lắng nữa chứ nhỉ? Sao tôi vẫn chưa sẵn sàng?"
ORIGINAL ORIGINAL AT THE END OF THIS END IS ANGRY EVERY HOURS 22.00 FEAR THE MIXTAPE COMES OUT,"Cuối cùng của cái kết này, lúc 22h mỗi giờ, sự giận dữ đang dâng lên vì sợ mixtape ra mắt."
It's too lazy if every day the default is constantly restless for no reason,Hàng ngày cứ vô cớ mà bồn chồn không yên thì thật là lười biếng.
"Can I skip this or not? To be honest, I don't really have any feelings of anxiety, I just thought about it, do you think I can survive in this place or not??","Tao có thể bỏ qua cái này không nhỉ? Thực ra thì tao cũng chẳng lo lắng gì, chỉ là nghĩ vậy thôi, không biết tao có sống nổi ở đây không nữa?!"
"Why do thoughts in the future always make you anxious, even though it is not necessarily the case. Whyyyyy? I'm so dizzy. Pdhl has encouraged himself to calm down, be patient, take it slow. Is there any medicine?","Sao những suy nghĩ về tương lai cứ khiến mình lo lắng thế này, dù chưa chắc gì đã xảy ra, tại sao chứ? Mệt quá, chóng mặt quá!  Mình đã tự nhủ phải bình tĩnh, kiên nhẫn, từ từ mà vẫn thế, có thuốc nào chữa được không?"
"Compromise to your heart's content. Restless , upset , happy , sad . It's like riding a gondola but don't know when to get off the ride.","Hãy thỏa sức thoả hiệp đi, dù vui buồn giận hờn thế nào cũng được, cứ như đang ngồi gondola mà chẳng biết khi nào xuống."
"I'm easily restless, even fake.","Tôi dễ chán, thậm chí giả vờ nữa."
"I'm really nervous, why is it, I don't have much worship..","Tôi lo lắng quá, tại sao nhỉ, tôi chẳng được ai tôn trọng mấy."
"Overthinking, restless, dizzy, tired, wants to cry, sucks in starting to enter the room","Nghĩ ngợi nhiều, bồn chồn, chóng mặt, mệt mỏi, muốn khóc, chỉ muốn lẩn tránh việc bước vào phòng."
Why is this guy so restless,Thằng này sao cứ bồn chồn thế?
"I'm lazy to work, if I often feel anxious","Mệt mỏi và lo lắng, tôi chẳng muốn làm việc gì cả."
"restless and emotional like PMS again, even though it's over. it doesn't feel very comfortable. kesenggol stik wants to cry. – istighfar a lot","Bồn chồn và xúc cảm, cứ như đang bị PMS vậy dù đã hết rồi, khó chịu vô cùng, chỉ muốn khóc thôi – liên tục cầu nguyện xin tha thứ."
"want to sleep restless, wake up restless. what do you want to die for?","Trằn trọc không ngủ, tỉnh dậy vẫn trằn trọc.  Rốt cuộc, vì điều gì mà anh muốn chết?"
Emotional when PMS is motivated by insecurity which also increases due to these hormones. I don't know why I will feel anxious about many things for no reason even if there is a reason it's just too much to say ™ƒðŸ™ƒðŸ™ƒ,"Dễ xúc động lúc hành kinh vì sự bất an càng tăng do nội tiết, chẳng hiểu sao lại lo lắng nhiều thứ vô cớ, có lý do thì cũng nhiều quá nói không xuể."
"I feel so restless, why?","Tôi cứ bồn chồn mãi, sao thế này?"
restless oh nervous.,"Trằn trọc, lo lắng quá!"
always worried about tomorrow,Luôn lo lắng về ngày mai.
"If you're blank and restless, your typing will be random","Nếu bạn trống rỗng và bồn chồn, gõ của bạn sẽ lung tung."
I'm so nervous :(,Mình hồi hộp quá!
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""","Không hối tiếc, không oán giận chuyện cũ, cũng chẳng quá lo lắng về tương lai, đó mới là sự thanh thản thực sự."
Looks like I'm going to leave WhatsApp aka I don't want to open it often because I don't know why I'm worried every time I open it,"Hình như mình sắp bỏ WhatsApp mất, vì cứ mở lên là lại thấy lo lắng không hiểu sao."
This week really can't calm down– there's just something that's bothering me,"Tuần này cứ rối bời mãi, có cái gì đó cứ làm mình bận lòng."
Very restless huh,Bồn chồn lắm nhỉ?
Have you ever been... you're honest but you're the one who's restless hh,Bạn đã từng… bạn thật thà nhưng lại là người không yên tâm à?
confused and restless. This heart seems to die. When you change,"Lúng túng, bồn chồn, tim như muốn chết khi em thay đổi."
Can't sleep restless,Trằn trọc không ngủ được.
"Why is it, every time you want to do something, you get nervous..",Sao cứ mỗi lần muốn làm gì là cậu lại hồi hộp thế?
"Ask for prayer. I'm really scared hehehe I'm really worried. Anyway, ask for prayer","Cầu nguyện cho mình đi, sợ quá đi mất hehe, lo lắm, cứ cầu nguyện đi."
"gps, restless panic","Loay hoay vì GPS, cuống cuồng sợ hãi."
Feeling restless it's been a few months not making a living with creativity,"Mấy tháng nay không được sống bằng nghề sáng tạo, thấy bứt rứt quá."
"Honestly, there is one person who is willing to be my home. Tell me when I'm wrong, comfort me when I'm nervous, and hug when the world is tired. I tried to survive on my own, but in fact it took a long time to become okay.","Thật lòng mà nói, có một người sẵn sàng là mái nhà của tôi, chỉ tôi khi tôi sai, an ủi tôi khi tôi lo lắng, và ôm tôi khi cả thế giới mệt mỏi; tôi từng cố gắng tự mình sống sót, nhưng hóa ra việc ổn lại mất rất nhiều thời gian."
Usually no later than 9 am already asleep. This is because the thought of something is even restless,"Thường thì chín giờ sáng là đã ngủ rồi, vì cứ nghĩ lung tung nên khó ngủ lắm."
"These few days every time you sleep restlessly, I don't understand why :(","Mấy hôm nay cứ thấy anh ngủ không yên, em không hiểu sao :(("
"Maybe that's the phase, in your 20s, you feel like you're just living like this, it's like you haven't done anything yet, overthinking future problems has made you so anxious.","Có lẽ đó là giai đoạn tuổi đôi mươi, cứ thấy mình sống dậm chân tại chỗ, chưa làm được gì, lại cứ lo nghĩ về tương lai đến mức lo lắng vô cùng."
Feeling anxious for no reason,Lo lắng vô cớ.
"When nervous is worse, it turns out that it's better to be told to wait than to be messed up like this","Lo lắng quá độ, hóa ra chờ đợi còn hơn là bị làm cho rối tung lên như thế này."
WHY ARE YOU VERY EASY??? WHY HAVE YOU ARRIVED ANXIETY LIKE THIS,Sao cậu dễ dãi thế? Sao lại lo lắng như vậy?
Through the day has not calmed without saying good morning. Through the night continues to be restless without saying goodnight..,"Ngày chưa yên mà chưa chào buổi sáng, đêm chưa yên mà chưa chúc ngủ ngon."
"faced with extraordinary emotions, stagnation and anxiety but it is forbidden to remove it. very bad situation.","Đang đối mặt với cảm xúc dâng trào, bế tắc và lo âu, mà lại không được phép giải tỏa, tình hình thật tồi tệ."
"This is the first time I'm nervous, ling lung, worried that my husband will never end to go offshore. Even if you just want to pass 2 days, the stress feels like centuries.","Lần đầu tiên này tôi thấy lo lắng, bồn chồn, sợ chồng đi biển mãi không về, chỉ hai ngày thôi mà cũng thấy stress như cả thế kỷ."
I'm tired but my body is restless,Mệt mỏi mà người cứ nằm không yên.
"Some days I'm very restless when I want to sleep. When you go to sleep, you don't realize anything, why are people fainting","Có những đêm trằn trọc mãi không ngủ được, ngủ thì chả biết gì, sao người ta lại ngất xỉu được nhỉ?"
"A heart devoid of prayer and praise to God - easily restless, impatient, and angry for no reason.","Trái tim không biết cầu nguyện và ca ngợi Chúa dễ bất an, nóng nảy và nổi giận vô cớ."
"let me strum the guitar, believe me.. all your complaints, worries, anxiety, sadness and confusion will disappear instantly","Để anh đánh đàn cho em nghe, tin anh đi… mọi phiền muộn, lo lắng, bất an, buồn bã và rối rắm sẽ tan biến ngay thôi."
Anjir worried I was too much,Anjir lo lắng tôi quá đáng.
Restless and agitated,Bồn chồn và lo lắng.
"How about you, basically, you are a loner, where is the mental health when you are not healthy, the more it is getting better. the intention to upgrade myself is even more anxious","Chính bản thân tôi, về cơ bản là một người cô độc, sức khỏe tinh thần không tốt thì làm sao mà tốt lên được, càng muốn cố gắng hoàn thiện bản thân lại càng lo lắng."
I am restless but in You is Peace,"Tôi bất an, nhưng nơi Ngài là bình yên."
Ever been the most anxious to the point of being forced to be the most sincere,Có khi nào lo lắng đến mức phải thành thật tuyệt đối?
